darija,eng,darija_ar
rah ms2oul 3la ljarima li darha weldou,he is responsible for his son crime,راه مسؤول على الجريمة لي دارها ولدو
rah motabaadal l7oub binathom,love is reciproque between them,راه متبادل الحب بينهم
rah mobdi3 had resaam,this painter is talented,راه مبدع هاد الرسم
ti9a madirha ghir fwalidik ou 5outek,only trust your sibling,تقا مديرها غير فواليديك و خوتك
rah bo7do fdar,he is alone in his house,راه بوحدو فدار
rah kaynin chi machakil ma3ndek madir lihom,there are some problem you have nothing to do with,راه كاينين شي مشاكل ماعندك مدير ليهم
ra hamichiya had no9ta,this point is marginal,را همشية هاد نقطة
rah mtab9 m3a dem dialo,this blood matches,راه متابق مع ديم ديالو
rah jab bdebt dkchi li gal 9bel,he brought what he said he will bring,راه جاب بالبديب دكشي لي قبل
rah ki3regha makla,he eats a lot,راه كيعرغها ماكلة
rah kidewez mti7an chafawi,he is passing a verbal exam,راه كيدوز متحان شفوي
rah kimchi lb7er 3eryan,he goes to beach naked,راه كيمشي للبحر عريان
9erbou lnti5abat,election are near,قربو الانتخابات
rah kay3jbouni ndewez mti7anat s3ab,i like to pass  hard exams,راه كايعجبوني ندوز امتحانات صعاب
rah 5fifa had l9ehwa,this coffee is light,راه عفيفة هاد القهوة
rah mjhed makirta7ch,the strong doesnt tire,راه مجهد ماكرتاحش
rah tamou7 men se5rou,he is too ambitious,راه تاموح من سخرو
rah blhedra kijib lclianne,he brings client just with talking,راه بالهدرة كيجيب لليانّة
rah nadya had l9issa 9raha 3la 7sabi,just read this story please,راه نادية هاد القصة قراها على حسابي
rah m3rouf hadak restora ghir sir liha 3la 7sabi,this restaurant is well known,راه معروف هاداك ريسطورة غير سير ليها على حسابي
rah men gbila o howa 7echamn men driyat,he is shy from girls,راه من جبلة و هو حشمن من دريات
rah ghadi bl9ada2 dial lah,its god decision,راه غادي بالقداء ديال الله
rah tjribi had lmti7an,this is a mock exqm,راه تجربي هاد المتحان
rah s3ib hadchi li kidouz 3lih,this is hard was he is passing through,راه صعيب هادشي لي كيدوز عليه
ra dewla mt3aatfa m3a filistine,this country support palestine,را دولة متعطفة مع فلسطين
rah 5bit kter men l9yass ma3mrou maytmna lik l5ir,he is rude and ill will,راه خبيت كتر من القياس ماعمرو مايتمنى ليك الخير
had rajel mlaa2em lbenti,this man is compatible with my daughter,هاد راجل ملاقم البنتي
rah flwest dial lb7er ki3oum maki7awelch 3la rassou,he is swimming inside of the sea,راه فلوست ديال البحر كيعوم ماكيحاولش على راسو
had telmid dima 5ayb kayji ghir flmti7anat,this student only comes during exams,هاد تلميد ديما خايب كايجي غير فالامتحانات
ra wase3a had tri9 ghir douz menha 7ssen men hadouk lverajat,this road is better than the curvy one,را وسعة هاد طريق غير دوز منها حسّن من هادوك لڤراجات
rah wirati haf lmerd fl3a2ila,this sickness is genetic,راه وريتي هاف المرض فالعائلة
rah ghir kimetel bach ya5od pilanti,he is just acting to get a penalty,راه غير كيمتل باش ياخد بيلانتي
rah bahet had trico,this shirt is no longer good,راه باهيت هاد تريكو
rah dima tay7 fbnat le7ram,he loves bad girls,راه ديما تايح فبنات الحرام
rah ghadin 3la tri9 sa7iliya,he is going near the beach,راه غادين على طريق سالمة
rah dima da7ek da7ek ou.mfewej 3la rassou ou 3aych l7ayat,he is always having a nice time,راه ديما داحك داحك ومفوج على راسو وعيش الحياة
rah 9ase7 had l7ejra 3ot manjreb nheressha.,this rock is too hard,راه قاسح هاد الحجرة عط منجرب نهرسّها.
rah 9ase7 bah dima dareb wladou,this dad always hit his sons,راه قاسح باه ديما دارب ولادو
rah ghadi ou ki7ma9 bhadik driya,he is too much in love with this girl,راه غادي و كيحماق بهاديك دريا
rah ghadi ou kayzyan,he is getting pretty,راه غادي و كايزيان
rah new3 madayrch dial lklab,this is a special dog kind,راه نوع مادايرش ديال الكلاب
rah mofid had lktab,this book is beneficial,راه مفيد هاد الكتاب
wlaw dima ghadin ftobis mli lmazout 5la,we only go on the bus,ولاو ديما غادين فطوبيس ملي المزود خلا
rah montaj dial lme5rib jerbou,this is a moroccan product,راه مونتاج ديال لمقريب جربو
rah rasou mrebe3,his head is like a rectangle,راه راسو مربع
rah ki5dem 7ariss cha5si dial wa7ed le3ab mechhour,he is a personal guard,راه كيخدم حريس شخصي ديال واحد لعب مشهور
rah 3ndou atmina ramziya,he has good prices,راه عندو أتمنة رمزية
rah makidlemch had l9adi,this judge is fair,راه ماكيدلمش هاد القاضي
rah 9aatil had lmerd,this sickness is fatal,راه قاتل هاد لمرد
rah lmejmou3 dial lflouss li jme3t melyoun,i have saved one million,راه المجموع ديال الفلوس لي جمعت مليون
rah morbi7 had lmechrou3 jerbou ila bghiti,this project is beneficial,راه مربح هاد المشروع جربو إيلا بغيتي
rah lwa7id li kaynafessni fsou9,he is the only one in the market,راه الواحد لي كاينفسّني فسوق
rah chra tonobil jdida ou saket wa ch7al metwade3,he has bought a new car,راه شرا تونوبيل جديدة و ساكت و شحال متواضع
rah 3ndhom wa7ed t5yir fl2idara,they have a new change in the administration,راه عندهم واحد تخير فالادارة
rah 3ndhom sekna flmedrassa,he stays at the school,راه عندهم سكنى فلمدرسة
rah 5ti 5atzwej simana jaya 5assna nchriw liha chi cado,my sister will marry new week,راه ختي حتزوج سيمانا جايا خسّنا نشريو ليها شي كادو
rah makafich had lma li kaym,this water isnt sufficient,راه ماكافيش هاد الما لي كايم
rah ayi wa7ed yd5el lhad lb7er ach haf l7ala,anyone can go to this beach,راه آي واحد يدخل لهاد البحر أش هاف الحالة
rah mamori7ch had lkorsi,this chair isnt comfortable,راه ماموريحش هاد الكرسي
rah wafiy ldaraja matsewerch,he is too loyal,راه وافي لدرجة ماتسويرش
rah morta9ab simana jaya tkoun 3asifa,next time there will be a storm,راه مرتاحب سيمانة جايا تكون عصيفة
7tarem walidik ra homa li rbawk,respect your parents,حتارم واليديك را هوما لي رباوك
ou mali ana 3lach kat3awed liya ach de5elni,why are you telling me this,و مالي أنا علاش كاتعاود ليا أش دخلني
ra ghir dawi 5awi,i'm just talking,را غير داوي خاوي
rah 9aasi bah kter men l9yass,his father is too harsh,راه قاسي باه كتر من القياس
rah mtnww3 dkchi li kaybi3,he has various products,راه متنوع دكشي لي كايبيع
rah m5ele9 layr7em lkourch li weldatou,he is respectful god helps his parents,راه مخلق لايرحم الكورش لي ولداتو
rah tbedelti bezzaf,you changed a lot,راه تبدلتي بزّاف
rah 3yet lik ch7al men mra,i called you long time ago,راه عيط ليك شحال من مرة
rah kaybu3 lfosfat 5am,they sell raw phosphor,راه كايبوع الفسفات خام
rah mafihch ti9a had bnadem,this man isnt trustful,راه مافيهش ثقة هاد بنادم
rah kaydiro mab5aw,they do what they want,راه كايديرو مابخاو
rah mfessel lil wa7ed lkeswa,he has a good outfit,راه مفسّل ليل واحد لكسوا
tle3 liya ftassi hadchi,i'm fed up,طلع ليا فتاسي هادشي
rah 5amid kter men l9yass,you are not funny,راه حامد كتر من القياس
ch7al fih dial tfelsif,he says nonesense,شحال فيه ديال تلفيزيون
rah mt3mmed y3sebni,he is making me angry,راه متعمد يعسبني
rah 7nin had lwliyed,this boy is kind,راه حنين هاد الوليد
rah kayn l7odod mat9derch tzid t3oum,you should respect the limits,راه كاين الحدود ماتقدرش تزيد تعوم
ra had lblassa me7miya men lboliss,they place is protected by the cops,را هاد البلاصة محمية من البوليس
rah 5edam fsectour tijari dial banka,he works at the bank,راه عدام فسكتور تجاري ديال بنكا
rah fla5ar dial chher ghadi nt5eless,at the end of the month i will get paid,راه فالأخر ديال شهر غادي نتخلس
rah 3amali had charjeur,this charge is practical,راه عمالي هاد الشارجر
rah 3ami9 had lberhouch,this boy is deep,راه عميق هاد البرهوش
rah resmiy ghadi nuzidou liya fl5elssa,they will officially increase my pay,راه رسمي غادي نزيدو ليا فالخلصة
rah montadima lmakla dialo,he eats healthy food,راه منتديمة الماكلة ديالو
rah me2louf had rajel fayt liya chayfou,this person is familiar,راه محلوف هاد الراجل فيت ليا شايفو
rah jayb lmakla bzayd,he brought too much food,راه جايب الماكلة بزياد
rah nacht ljomhor,fans are celebrating,راه ناشط الجمهور
rah mi3yar dial naja2 dialek,criteria of success,راه معيار ديال نجاء ديالك
rah 9wi had l7it mati7ch,this wall is strong wont fall,راه قوي هاد الحيت ماتيحش
rah ja flwest dial lmdina,its in the middle of the city,راه جا فلوست ديال المدينة
rah ja godammek hadak l7anout,this place is in front of shop,راه جا ڭدّامّك هاداك لحانوت
rah mosta7il tji 3edna ldar raha rayba,our place is falling,راه مستحيل تجي عدنا لدار راها رايبة
rah 5assni chi frach ldar jdida,i need new furnitures,راه حسني شي فراش لدار جديدة
rah kichouf l2af3al dialha,he is seeing his deeds,راه كيشوف الأفعال ديالها
rah 5edam fdkchi ti9ni,he works in technical stuff,راه حدام فدكشي تقني
rah 3adi t9eyay mli tkouni fbdayt le7mala,you will vomit when you wil lget pregnant,راه عادي تقياي ملي تكوني فبدايت الحمالة
rah da5iliya 3endhom skena fljami3a,they have dorms in the university,راه دخيليا عندهم سكينة فالجامعة
rah nadin no9at dialo mo2a5aran,he has good ratings,راه ندين نقط ديالو مؤخرا
rah triya had l5edra 5odha 3la 7sabi,this veggies are fresh,راه طريا هاد الخضرا عودها على حسابي
rah d5el wa7ed lfar ldar,a rat entered the house,راه دخل واحد الفر لدار
rah mo7tamal ytferge3 hadak lbourkan,that volcano will errupt,راه محتمل يتفرجع هاداك البركان
rah chamaliyin ga3 hadou li saknin hna,chamali people lives here,راه شماليين ڭاع هادو لي ساكنين هنا
rah 3id dini hada,this is a religious day,راه عيد ديني هادا
rah mdayrin tajamo3 ta9afi,they hold a cultural meeting,راه مدايرين تجموع ثقافي
rahbo7do yferche5koun kamlin,they will hit them hard,راهبوحدو يفرشخون كاملين
rah aamin had lmes2oul,this person is respectful,راه آمين هاد المسؤول
rah mo7afid had l2imam,this imam is conservative,راه محافظ هاد الإمام
rah chekli had l9anoun kolo,this code is basic,راه شكلي هاد القانون كولو
rah n9iya dar,the house is clean,راه نقيا دار
rah bezzaf had l5wat,too much this scream,راه بزّاف هاد لخوات
rah ki9ra fmedrasst lme5zen walakin 9arawiya dkchi 3lach m3etlin 3lihom natija,he is studying in public school,راه كيقرا فمدرسة المخزن ولكن قروية دكشي علاش معتلين عليهم نتيجة
rah mebda2i had l9anoun ba9i 5aytbedel,this code is introductory,راه مبدائي هاد القانون باقي خايتبدل
rah mo3eddal dialek tay7 had l3am,your grading is bellow average,راه معدل ديالك تايح هاد العام
rah dafi had l7lib mayderekch,this milk is warm,راه دافي هاد الحليب مايديركش
rah 5rib 3lina had rajel,this man is stranger,راه علينا هاد الراجل
rah mola2ima lina had sekna,this habitation is compatible,راه ملائمة لينا هاد السكنا
rah m7bob had deri west 3a2iltou,this boy is liked,راه محبوب هاد ديري وست عائلتو
rah jraw 3lih de5ya ma3etlouhch,they fired him quickly,راه جراو عليه دخيا ماعطلوهش
rah kay7esbou l2ijmali dial dkchi li 5essrou 3la lprojet,they are calculating the cost,راه كايحسبو الاجمالي ديال دكشي لي خسرو على لپروجي
